Run,Lumi,Event,MR,Rsq,E1,Px1,Py1,Pz1,E2,Px2,Py2,Pz2,HT,MET,nJets,nBJets
148029,388,302318745,215.553,0.0319766,136.71,-109.893,-54.0342,-58.9032,142.179,70.0254,41.1225,-116.513,203.666,18.311,2,0
148029,388,302323641,155.437,0.0421566,83.3865,81.15,6.88361,-12.9688,73.9025,-72.2472,11.8835,3.0899,154.659,14.7747,2,0
148029,388,302336217,400.563,0.0269384,253.184,139.902,102.64,-101.935,535.551,-110.379,-89.0929,-516.179,343.28,25.2211,3,0
148029,388,302382289,286.245,0.0941924,175.486,-156.024,-62.9535,-47.7434,112.851,89.0843,3.45025,67.9007,257.397,46.0288,2,0
148029,388,302403873,204.514,0.018804,833.795,100.41,-16.659,-827.498,445.612,-91.1991,15.5583,-390.144,269.492,8.11345,3,0
148029,388,302420793,263.468,0.00434691,604.469,-89.9959,75.3863,592.848,158.516,77.7075,-62.3929,122.208,217.054,2.67841,2,0
148029,388,302439193,335.945,0.0165616,685.832,-1.35825,100.659,-678.327,76.8764,10.3181,-74.2848,-4.37499,175.667,18.4822,2,0
148029,388,302419121,307.939,0.00925187,356.469,-110.732,-90.2136,-325.997,757.159,112.44,87.5375,-743.57,285.326,6.15179,2,0
148029,388,302401313,1030.24,0.0174539,879.537,140.725,429.373,754.023,413.713,-136.067,-387.406,22.7873,862.453,41.0785,2,0
148029,388,302453729,396.081,0.0206676,290.226,-100.166,102.716,-201.914,164.606,82.8989,-91.2754,102.873,267.875,22.5574,3,0
148029,388,302449521,223.242,0.0261194,376.471,102.039,82.9777,352.484,165.055,-68.2355,-52.9651,140.085,217.898,9.95002,2,0
148029,388,302463329,487.458,0.0078653,359.863,1.66874,125.641,-334.14,167.478,12.4961,-86.4612,142.208,213.74,17.5272,3,0
148029,388,302473705,272.245,0.0566461,226.043,31.2157,-170.091,-141.891,99.7265,-32.0375,88.0969,-30.657,266.674,24.213,2,0
148029,388,302478441,314.676,0.0198561,554.272,-90.7543,-74.2377,541.248,120.773,88.2192,60.422,54.662,224.177,16.5481,2,0
148029,388,302509121,214.292,0.0395587,132.815,-87.2183,-15.2947,-96.9237,447.246,67.6926,38.1165,-440.338,166.235,19.1628,2,1
148029,388,302483593,768.637,0.00592479,293.576,53.2424,-141.683,228.404,586.523,-72.745,89.9592,-545.233,363.796,21.9777,4,0
148029,388,302516761,221.87,0.0167956,275.299,-55.1742,-100.042,235.053,418.526,59.6333,73.9955,407.408,232.764,7.01557,3,0
148029,388,302509633,210.786,0.044379,120.598,42.3235,-75.7447,-82.9065,95.0109,-73.8994,34.1065,46.7422,168.157,19.8297,2,1
148029,388,302521081,408.74,0.0174582,166.847,-20.0142,-160.723,-37.4615,324.571,-19.0405,98.1881,308.225,261.982,17.9471,2,0
148029,388,302540241,204.467,0.0160786,112.472,-9.32953,104.194,38.2098,126.118,14.3495,-94.6226,80.5018,200.315,6.37355,2,0
148029,388,302537913,415.087,0.00737659,272.975,-88.5536,-35.5769,-188.576,304.595,5.73214,41.3704,199.559,317.23,15.7009,4,0
148029,388,302538889,361.127,0.0260441,271.479,-101.958,-104.316,-227.801,213.812,106.018,76.4452,39.8028,278.179,26.7478,3,0
148029,388,302539273,389.122,0.00791814,153.085,-62.6089,-131.066,-41.3438,299.129,67.0351,120.324,262.792,282.99,8.58766,2,0
148029,388,302563577,200.833,0.0599091,146.409,60.7131,100.834,-16.1729,83.4964,-10.373,-81.8043,2.43408,204.699,21.2382,3,0
148029,388,302553241,289.221,0.0591456,221.52,175.737,96.4749,91.0355,95.4252,-85.282,-23.5623,31.2677,288.953,24.7798,2,0
148029,388,302586841,341.539,0.0141471,110.213,-23.0045,-97.8179,-40.2025,338.59,52.7752,64.5604,327.889,183.873,14.8086,2,0
148029,388,302567777,628.826,0.00166011,910.644,0.121328,93.0458,893.875,122.872,-4.73618,-82.9993,-89.5931,252.73,7.07675,3,0
148029,388,302607857,478.795,0.00352467,204.416,-31.9672,-80.1859,-118.593,409.504,57.3586,56.7248,401.337,207.726,10.3731,3,0
148029,388,302615881,258.895,0.0401781,107.965,-44.7236,97.7002,-5.97576,196.159,42.7034,-98.0948,163.635,214.437,25.1491,2,0
148029,388,302617441,199.799,0.0332982,136.481,99.7167,2.98167,92.2001,84.9677,-84.0995,4.59879,0.0492483,183.986,13.2062,2,0
148029,388,302636225,512.278,0.00365115,698.341,-85.7237,-76.0725,688.824,107.395,48.9769,66.42,-67.7631,197.135,11.7115,2,0
148029,388,302624529,289.241,0.0069952,302.868,-92.6423,125.747,258.947,358.945,60.8043,-111.366,335.063,283.073,4.68877,2,0
148029,388,302651257,391.489,0.00294159,458.518,-88.5555,-57.6798,445.976,92.9906,65.4983,26.901,-58.9802,176.491,4.98085,2,0
148029,388,302676905,152.416,0.0485789,616.104,-7.70398,79.8306,610.831,600.541,0.356532,-72.0869,596.141,152.289,13.8518,2,0
148029,388,302676321,285.068,0.015905,147.887,126.58,0.421944,72.9556,368.099,-97.4834,3.98836,354.585,224.146,10.4871,2,0
148029,388,302694833,284.994,0.0201942,135.797,-103.288,64.3557,59.4267,158.422,72.3348,-53.9546,-129.863,211.937,13.4153,2,0
148029,388,302698001,276.709,0.0268766,251.918,-36.1152,139.342,205.402,160.926,39.531,-119.859,97.8025,270.156,14.623,2,0
148029,388,302719937,554.99,0.00615423,407.845,27.6624,-77.5287,386.119,196.576,-58.0414,39.3143,-183.179,198.65,20.8518,3,0
148029,388,302720513,223.425,0.046266,115.142,92.9721,-62.9098,7.72086,113.454,-89.0055,58.4237,-37.506,218.724,21.6835,2,0
148029,388,302717001,534.54,0.00497155,248.739,-121.584,-11.4489,-140.402,403.204,96.4615,50.7596,387.994,288.317,11.7202,3,0
148029,388,302751001,326.925,0.022436,153.557,-135.862,25.6134,63.0806,182.516,118.765,-47.5376,-128.732,266.181,16.3232,2,0
